Year,Period,employment,unemployment,unemployment rate,single_home_avg_prices,is_covid
2013,Jan,16835906,1779487,9.6,286600.5399,0
2013,Feb,16856557,1757899,9.4,290987.3349,0
2013,Mar,16880238,1734457,9.3,295862.6499,0
2013,Apr,16910983,1711258,9.2,301459.5882,0
2013,May,16942752,1691728,9.1,306630.8499,0
2013,Jun,16968882,1676994,9,311586.8758,0
2013,Jul,16987525,1664556,8.9,315988.2045,0
2013,Aug,17000090,1647141,8.8,321114.3984,0
2013,Sep,17010624,1621464,8.7,325717.6303,0
2013,Oct,17024977,1592999,8.6,329378.3127,0
2013,Nov,17048438,1566231,8.4,332648.4809,0
2013,Dec,17081350,1542603,8.3,335938.0448,0
2014,Jan,17086089,1517461,8.2,338605.5029,0
2014,Feb,17131337,1494184,8,341572.6315,0
2014,Mar,17175024,1471729,7.9,343455.606,0
2014,Apr,17212512,1450799,7.8,344722.2865,0
2014,May,17246970,1429548,7.7,345582.2673,0
2014,Jun,17284748,1408342,7.5,346688.5794,0
2014,Jul,17325669,1388924,7.4,348112.1147,0
2014,Aug,17369725,1372594,7.3,348942.359,0
2014,Sep,17415533,1357801,7.2,350392.7498,0
2014,Oct,17459211,1339919,7.1,351888.5974,0
2014,Nov,17496448,1317229,7,354687.856,0
2014,Dec,17527359,1293786,6.9,356961.4143,0
2015,Jan,17534265,1270825,6.8,358923.8012,0
2015,Feb,17557274,1253260,6.7,360975.3857,0
2015,Mar,17581698,1236869,6.6,364109.3001,0
2015,Apr,17608247,1218827,6.5,366759.4968,0
2015,May,17633523,1197823,6.4,369631.9081,0
2015,Jun,17653880,1173829,6.2,372192.3191,0
2015,Jul,17670644,1149463,6.1,374480.373,0
2015,Aug,17686845,1127776,6,377214.3965,0
2015,Sep,17706715,1109154,5.9,380139.8823,0
2015,Oct,17735420,1094676,5.8,382892.5548,0
2015,Nov,17773316,1085242,5.8,384794.9187,0
2015,Dec,17815446,1078039,5.7,387592.9789,0
2016,Jan,17855481,1070589,5.7,390434.8679,0
2016,Feb,17888925,1063220,5.6,392977.7773,0
2016,Mar,17914453,1055874,5.6,394478.8048,0
2016,Apr,17934428,1050059,5.5,396695.3552,0
2016,May,17953279,1047221,5.5,398459.7183,0
2016,Jun,17973079,1046153,5.5,400634.2414,0
2016,Jul,17994046,1044333,5.5,402171.563,0
2016,Aug,18014599,1041296,5.5,404859.3206,0
2016,Sep,18032659,1038054,5.4,406827.4226,0
2016,Oct,18047896,1032740,5.4,409834.1686,0
2016,Nov,18064320,1022889,5.4,412265.9341,0
2016,Dec,18085431,1009061,5.3,414588.7144,0
2017,Jan,18112068,993248,5.2,414917.372,0
2017,Feb,18143174,976241,5.1,417162.5529,0
2017,Mar,18173987,960452,5,419726.9656,0
2017,Apr,18203726,947255,4.9,422296.5435,0
2017,May,18232933,935487,4.9,425463.6076,0
2017,Jun,18260479,924762,4.8,428691.5172,0
2017,Jul,18285677,914904,4.8,431364.4503,0
2017,Aug,18306843,903543,4.7,434326.5603,0
2017,Sep,18323455,889624,4.6,437828.5184,0
2017,Oct,18336244,874276,4.6,441484.7066,0
2017,Nov,18344984,859943,4.5,445647.3818,0
2017,Dec,18353112,847549,4.4,449901.3731,0
2018,Jan,18364857,838791,4.4,452009.4734,0
2018,Feb,18383340,834115,4.3,455916.7181,0
2018,Mar,18407492,831159,4.3,459697.6334,0
2018,Apr,18430112,827244,4.3,462968.8502,0
2018,May,18446042,822199,4.3,466169.9876,0
2018,Jun,18457360,816037,4.2,469257.013,0
2018,Jul,18467125,809299,4.2,472516.8948,0
2018,Aug,18478793,805646,4.2,474614.1411,0
2018,Sep,18494446,806924,4.2,475739.8205,0
2018,Oct,18513320,812897,4.2,476171.8168,0
2018,Nov,18532420,821411,4.2,476183.526,0
2018,Dec,18546310,828966,4.3,475219.8911,0
2019,Jan,18550985,831874,4.3,473698.9171,0
2019,Feb,18546169,827978,4.3,471743.9561,0
2019,Mar,18537826,818949,4.2,470035.3156,0
2019,Apr,18535623,806461,4.2,469705.4171,0
2019,May,18545462,792799,4.1,470964.0285,0
2019,Jun,18568928,780966,4,472786.1838,0
2019,Jul,18609341,771612,4,474279.508,0
2019,Aug,18655883,763836,3.9,475146.1776,0
2019,Sep,18700422,757881,3.9,476397.4406,0
2019,Oct,18731357,753978,3.9,477697.0155,0
2019,Nov,18733893,753741,3.9,478858.3465,0
2019,Dec,18729074,754716,3.9,480522.8323,0
2020,Jan,18756375,753269,3.9,482434.8818,1
2020,Feb,18756714,759328,3.9,484625.0439,1
2020,Mar,18115804,1052163,5.5,486561.6881,1
2020,Apr,15539409,3043334,16.4,487494.2828,1
2020,May,15478744,3018224,16.3,486993.2636,1
