Year,Period,employment,unemployment,unemployment rate,single_home_avg_prices,is_covid
2016,Nov,9451798,469245,4.7,159218.0719,0
2016,Dec,9483247,463487,4.7,160152.1406,0
2017,Jan,9517115,456125,4.6,160946.0504,0
2017,Feb,9552058,447970,4.5,161705.9196,0
2017,Mar,9584532,440330,4.4,162482.1383,0
2017,Apr,9613039,433811,4.3,163283.9465,0
2017,May,9636809,428103,4.3,164237.2859,0
2017,Jun,9654802,423414,4.2,165216.6445,0
2017,Jul,9667659,419826,4.2,166200.1049,0
2017,Aug,9676162,416323,4.1,167344.3672,0
2017,Sep,9682213,412264,4.1,168428.1103,0
2017,Oct,9688120,407810,4,169551.9754,0
2017,Nov,9694399,403566,4,170421.6595,0
2017,Dec,9702948,399155,4,171305.9711,0
2018,Jan,9715663,394510,3.9,171767.1154,0
2018,Feb,9733243,389858,3.9,172596.9113,0
2018,Mar,9753654,384850,3.8,173558.3718,0
2018,Apr,9772198,378794,3.7,174654.8942,0
2018,May,9786582,371705,3.7,175765.2735,0
2018,Jun,9798986,363876,3.6,176668.328,0
2018,Jul,9811796,355997,3.5,177465.86,0
2018,Aug,9827109,350094,3.4,178208.0716,0
2018,Sep,9845567,347291,3.4,179064.8889,0
2018,Oct,9865690,347446,3.4,179880.0449,0
2018,Nov,9885052,349341,3.4,180722.3611,0
2018,Dec,9900101,351350,3.4,181594.3152,0
2019,Jan,9908830,351694,3.4,182434.6314,0
2019,Feb,9912103,349021,3.4,183033.6603,0
2019,Mar,9915067,343940,3.4,183409.4359,0
2019,Apr,9924507,337549,3.3,183768.5823,0
2019,May,9943938,330948,3.2,184148.2361,0
2019,Jun,9973583,324877,3.2,184633.0855,0
2019,Jul,10015016,318402,3.1,185194.0566,0
2019,Aug,10059338,311096,3,185681.5235,0
2019,Sep,10098918,303781,2.9,186143.1271,0
2019,Oct,10125431,297948,2.9,186648.2692,0
2019,Nov,10126546,296723,2.8,187221.2019,0
2019,Dec,10121594,297440,2.9,187758.0021,0
2020,Jan,10148929,291383,2.8,188434.4177,1
2020,Feb,10164675,290724,2.8,189249.703,1
2020,Mar,9873877,457308,4.4,190174.1795,1
2020,Apr,8166411,1305832,13.8,191029.6731,1
2020,May,8296757,1412370,14.5,191869.8088,1
