Year,Period,employment,unemployment,unemployment rate,single_home_avg_prices,is_covid
2018,May,9119951,400443,4.2,256900.3387,0
2018,Jun,9128479,389742,4.1,257520.6679,0
2018,Jul,9135281,379689,4,258281.766,0
2018,Aug,9142250,373149,3.9,259039.9677,0
2018,Sep,9150233,371249,3.9,259978.3106,0
2018,Oct,9158403,373327,3.9,260807.863,0
2018,Nov,9165087,377592,4,261516.6738,0
2018,Dec,9167089,382340,4,261981.237,0
2019,Jan,9161783,385679,4,262267.2873,0
2019,Feb,9148538,385974,4,262383.8288,0
2019,Mar,9130757,383989,4,262703.7145,0
2019,Apr,9115005,380581,4,263094.7654,0
2019,May,9106058,376947,4,263447.8683,0
2019,Jun,9105741,374451,3.9,263689.3561,0
2019,Jul,9115194,373266,3.9,263750.8995,0
2019,Aug,9129585,372324,3.9,263816.5847,0
2019,Sep,9145414,371583,3.9,263752.8588,0
2019,Oct,9156652,371247,3.9,263747.8534,0
2019,Nov,9157857,371213,3.9,263804.2633,0
2019,Dec,9156258,371454,3.9,264055.3621,0
2020,Jan,9178410,364511,3.8,264421.6032,1
2020,Feb,9197589,354066,3.7,264810.5326,1
2020,Mar,9022695,388738,4.1,265036.8737,1
2020,Apr,7691738,1392274,15.3,265200.3956,1
2020,May,7773672,1315995,14.5,265311.2801,1
