Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann
2005,5.70%,5.70%,5.00%,4.80%,4.80%,4.80%,5.10%,4.70%,5.00%,4.80%,5.10%,4.70%,5.00%
2004,7.10%,6.80%,6.70%,5.90%,5.60%,5.80%,5.80%,5.30%,5.20%,5.10%,5.10%,5.20%,5.80%
2003,7.00%,6.90%,6.40%,6.10%,6.00%,6.40%,6.40%,6.20%,6.30%,6.20%,6.30%,6.10%,6.40%
2002,6.80%,6.80%,6.60%,6.10%,5.90%,6.00%,6.10%,5.80%,5.60%,5.80%,6.10%,6.30%,6.10%
2001,4.80%,4.70%,4.50%,4.10%,4.00%,4.30%,4.60%,4.90%,5.00%,5.40%,5.70%,5.90%,4.80%
2000,5.30%,5.30%,5.00%,4.30%,4.40%,4.30%,4.60%,4.50%,4.30%,4.20%,4.30%,4.10%,4.50%
1999,5.90%,6.10%,5.50%,5.10%,4.90%,5.20%,5.40%,5.00%,5.00%,4.80%,4.70%,4.50%,5.20%
1998,6.70%,6.60%,6.40%,5.40%,5.30%,5.30%,5.60%,5.20%,5.30%,5.30%,5.10%,5.10%,5.60%
1997,7.30%,7.20%,7.00%,6.40%,6.30%,6.50%,6.60%,6.30%,6.20%,5.90%,5.70%,5.80%,6.40%
1996,6.90%,6.80%,6.80%,6.40%,6.30%,6.00%,6.40%,5.80%,5.70%,5.70%,6.00%,6.10%,6.20%
1995,7.00%,6.70%,6.60%,6.40%,6.20%,6.20%,6.50%,6.30%,6.20%,6.00%,6.00%,6.00%,6.30%
1994,8.40%,8.30%,7.90%,7.30%,6.80%,6.90%,7.00%,6.60%,6.30%,6.20%,6.00%,5.80%,6.90%
1993,9.30%,9.00%,8.30%,7.70%,7.70%,7.80%,7.80%,7.50%,7.40%,7.60%,7.40%,7.40%,7.90%
1992,9.00%,9.30%,8.80%,8.20%,8.40%,8.80%,8.80%,8.60%,8.60%,8.20%,8.30%,8.30%,8.60%
1991,7.00%,7.40%,7.40%,6.90%,7.30%,7.20%,7.30%,7.10%,7.10%,7.10%,7.30%,7.80%,7.20%
1990,5.80%,5.80%,5.40%,5.00%,4.90%,4.70%,5.20%,5.00%,5.30%,5.40%,5.60%,5.80%,5.30%
1989,5.50%,5.30%,4.80%,4.80%,4.80%,4.80%,4.90%,4.70%,4.90%,4.90%,5.20%,5.10%,5.00%
1988,5.00%,4.70%,4.30%,3.60%,4.00%,3.80%,4.20%,4.20%,4.30%,4.30%,4.40%,4.50%,4.30%
1987,6.10%,5.90%,5.50%,4.70%,4.70%,4.70%,4.70%,4.50%,4.40%,4.60%,4.60%,4.30%,4.90%
1986,6.80%,7.40%,7.00%,6.50%,6.60%,6.30%,6.30%,5.80%,5.80%,5.60%,5.50%,5.20%,6.20%
1985,7.60%,7.30%,7.00%,6.60%,6.60%,6.60%,6.60%,6.10%,6.30%,6.30%,6.20%,6.20%,6.60%
1984,8.20%,8.00%,7.60%,7.00%,6.80%,6.90%,7.50%,7.30%,6.90%,6.80%,6.50%,6.50%,7.20%
1983,10.00%,10.00%,9.60%,8.90%,8.90%,9.00%,8.60%,8.40%,8.10%,7.70%,7.50%,7.40%,8.70%
1982,8.70%,8.50%,8.50%,8.10%,8.00%,8.20%,8.50%,8.20%,8.30%,8.60%,9.00%,9.10%,8.50%
1981,8.50%,8.50%,8.10%,7.30%,7.50%,7.60%,7.40%,7.00%,7.00%,7.10%,7.40%,7.80%,7.60%
1980,8.00%,7.80%,7.30%,7.20%,7.50%,7.60%,7.80%,7.40%,7.30%,7.30%,7.30%,7.20%,7.50%
1979,7.70%,7.80%,7.40%,6.80%,6.60%,7.00%,7.20%,7.30%,7.20%,7.10%,7.00%,6.90%,7.20%
1978,8.90%,8.70%,8.30%,7.60%,7.50%,7.50%,7.90%,7.50%,7.70%,7.20%,7.20%,7.10%,7.80%
1977,10.60%,10.70%,10.10%,9.00%,8.80%,9.10%,8.80%,8.70%,8.80%,8.50%,8.70%,8.00%,9.10%
1976,11.20%,11.20%,10.50%,9.80%,9.00%,10.20%,10.50%,10.20%,10.10%,9.90%,10.20%,10.00%,10.20%
